pl_name,pl_rade,pl_bmasse,pl_dens,pl_eqt,pl_orbsmax,pl_orbeccen,st_teff,st_mass,st_rad,st_lum,hab
HD 141399 d,13.7,375.0394,0.801,,2.09,0.074,5600,1.07,1.387236,0.2014,0
HD 113538 c,13.8,295.57,0.618,,2.44,0.2,4462,0.585,0.53,-1.04576,0
HD 564 b,12.5,104.88,0.295,,1.2,0.096,5902,0.961,1.01,0.01893,0
HAT-P-54 b,10.581296,241.5508,1.118,818,0.04117,0.074,4390,0.645,0.617,-0.9017,0
Kepler-76 b,15.24424,638.8383,1.1,2140,0.0274,0,6409,1.2,1.32,0.45116,0
WASP-42 b,12.576498,167.49641,0.464,1021,0.0561,0.062,5315,0.951,0.892,-0.36094,0
HD 108341 b,13.3,715.1139158,1.67,,2,0.85,5122,0.843,0.79,-0.37001,0
TrES-5 b,13.383546,568.9157,1.31,1480,0.02459,0,5171,0.901,0.868,-0.34382,0
Kepler-432 c,13.3,772.3269,1.8,,,0.498,4995,1.32,4.06,0.92561,0
Kepler-5 b,15.984034,670.93913,0.4,1750,0.0538,0,6297,1.374,1.793,0.65242,0
HD 141399 c,13.6,422.7139,0.923,,0.689,0.048,5600,1.07,1.387236,0.2014,0
Kepler-432 b,12.834305,1719.4603,4.46,812,0.301,0.5134,4995,1.32,4.06,0.92561,0
HD 7924 c,2.72,7.86,2.15,583.6,0.1134,0.098,5075,0.832,0.7821,-0.40636,0
WASP-41 c,13.1,1010.6994,2.47,241,1.07,0.294,5545,0.93,0.87,-0.19512,0
Kepler-424 c,12.7,2215.18,5.94,,0.73,,5460,1.01,0.94,-0.15,0
Kepler-422 b,12.89,136.66,0.38,1028,0.082,0,5972,1.15,1.24,0.24,0
WASP-57 b,11.76945,204.68252,0.693,1338,0.03769,0,5600,0.886,0.927,-0.00509,0
HAT-P-50 b,14.437192,429.0705,0.78,1862,0.0453,0.115,6280,1.273,1.698,0.60314,0
Kepler-424 b,9.98,327.35,1.94,1116,0.044,0,5460,1.01,0.94,-0.15,0
Kepler-427 b,13.79,92.17,0.16,1100,0.091,0.57,5800,0.96,1.35,0.29,0
HD 128311 c,13,1204.25787,3.01,,1.74,0.159,4965,0.828,0.76,-0.5116,0
HD 128311 b,13.5,562.24127,1.26,,1.084,0.303,4965,0.828,0.76,-0.5116,0
Kepler-449 c,2.764,8.07,2.1,661,0.1979,0.05,5649.18,1.02,1.467,0.296,0
HAT-P-52 b,11.309881,259.98494,0.98,1218,0.03694,0.047,5131,0.887,0.893,-0.30452,0
HD 1461 c,2.23,5.59,2.77,,0.1117,0.305,5765,1.02,1.152288,0.0954,0
Kepler-425 b,10.962,79.45,0.27,1070,0.0464,0.33,5170,0.93,0.86,-0.323,0
WASP-70 A b,13.047,187.512,0.499,1387,0.04853,0,5763,1.106,1.215,0.1624,0
Kepler-75 b,11.77,3209.9,11,767,0.0818,0.57,5200,0.91,0.89,-0.21487,0
Kepler-449 b,2.056,4.88,3.09,917,0.1027,0.03,5649.18,1.02,1.467,0.296,0
Kepler-92 d,2.067,11.8666806,7.457871,637,0.28682,0.07,5904.34,1.07,1.81719,0.55818,0
HD 175607 b,2.94,8.98,1.94,,,0.11,5392,0.71,0.7,-0.27097,0
HD 219134 g,3.28,10.80622,1.68,,0.3753,0,4913,0.794,0.77,-0.50864,0
OGLE-2008-BLG-092L b,8.74,57,0.469,,15,,,0.71,,,0
Kepler-74 b,10.76,200.22,0.88,1078,0.0781,0,6000,1.18,1.12,0.3321,0
Kepler-444 b,0.403,0.0374,3.14,938,0.04178,0.16,5046,0.758,0.752,-0.42455,0
MOA-2011-BLG-262L b,4.29,17,1.18,,0.95,,,0.11,,,0
WASP-135 b,14.5717,603.877,1.16,1403.66,0.0243,0,5675,0.98,0.96,-0.32573,0
OGLE-2006-BLG-109L c,11.1,86,0.346,59,4.5,0.15,,0.51,,,0
Qatar-2 b,14.056,792.635,1.573,1344,0.02153,0,4645,0.743,0.776,-0.6832,0
